id	title	content	category_id	demo_start_date	demo_end_date	demo_place	prefecture_id	demo_address_latitude	demo_address_longitude	organizer_user_id	created_at	updated_at	deleted_at
30	背景色テスト	灰色になっているか	1	2025-07-19 18:18:00	2025-07-19 20:18:00	東京駅	13	35.681299600	139.767065800	10	2025-07-04 18:19:28	2025-07-04 18:19:28	NULL
32	ナルトのテスト	いいいいいいい	1	2025-07-26 01:51:00	2025-07-26 12:51:00	神泉駅	13	35.657270400	139.693622700	12	2025-07-06 01:52:06	2025-07-06 01:52:06	NULL
33	りくのテスト	うううううう	3	2025-07-26 01:52:00	2025-07-26 07:52:00	恵比寿駅	13	35.646714500	139.710081800	13	2025-07-06 01:53:14	2025-07-06 01:53:14	NULL
34	参政党を応援しよう。	日本を取り戻そう！	4	2025-08-30 08:05:00	2025-08-30 12:05:00	新宿駅	13	35.689606700	139.700571300	23	2025-08-10 02:06:31	2025-08-10 02:06:31	NULL
35	農家の尊厳を取り戻す	時給10円と言われる農家の必要性を国に訴える。	5	2025-10-04 12:00:00	2025-10-04 15:00:00	国会議事堂前	13	35.673895900	139.744963400	2	2025-08-13 22:41:29	2025-08-13 22:41:29	NULL
36	農家の尊厳を取り戻す	時給10円と言われる農家の必要性を国に訴える。	5	2025-10-04 10:00:00	2025-10-04 15:00:00	国会議事堂前	13	35.673895900	139.744963400	2	2025-08-13 22:46:12	2025-08-13 22:46:12	NULL
37	石破やめろデモ	退陣を訴えるデモ	4	2025-10-25 14:00:00	2025-10-25 17:00:00	国会議事堂前	13	35.673895900	139.744963400	1	2025-10-05 11:49:07	2025-10-05 11:49:07	NULL
38	世襲をやめさせる	政治家の世襲をやめさせましょう。	4	2025-11-08 12:00:00	2025-11-08 15:00:00	渋谷駅	13	35.658033900	139.701635800	1	2025-10-05 12:49:35	2025-10-05 12:49:35	NULL
39	最低賃金をあげよう	地方の最低賃金をあげよう	5	2025-12-06 13:00:00	2025-12-06 17:00:00	秋田駅	5	39.716912100	140.129739700	1	2025-10-05 13:01:10	2025-10-05 13:01:10	NULL
40	テストデモ20251102	動物虐待を訴えましょう。\n皆ビーガンになろう。\nまずはベジタリアンからでも。	3	2026-01-18 14:00:00	2026-01-18 17:00:00	新宿駅	13	35.689606700	139.700571300	1	2025-11-02 01:05:20	2025-11-02 19:52:00	NULL
